epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,2056.25,0.72142,0.36448,0.90593,0.59373,0.78042,0.69618,0.57913,0.67975,0.32184,0.91044,0.000621029,0.000621029,0.000621029
130,2071.96,0.72276,0.36639,0.90911,0.60838,0.7977,0.69407,0.57486,0.68025,0.32433,0.91048,0.000618779,0.000618779,0.000618779
131,2087.29,0.71474,0.36084,0.90592,0.63217,0.78094,0.69435,0.57918,0.67151,0.32526,0.90748,0.000616529,0.000616529,0.000616529
132,2103.03,0.71629,0.36401,0.90677,0.61069,0.78724,0.69097,0.57637,0.67886,0.32323,0.91058,0.000614279,0.000614279,0.000614279
133,2118.4,0.72858,0.36583,0.9098,0.61728,0.76687,0.68495,0.57196,0.67665,0.32268,0.90975,0.00061203,0.00061203,0.00061203
134,2134.96,0.7153,0.36279,0.90473,0.61267,0.77172,0.68339,0.56789,0.67539,0.32274,0.90837,0.00060978,0.00060978,0.00060978
135,2150.34,0.7096,0.36106,0.90382,0.60624,0.79725,0.68218,0.57039,0.67387,0.32333,0.90839,0.00060753,0.00060753,0.00060753
136,2166.03,0.71914,0.36474,0.91036,0.60018,0.76939,0.67642,0.55777,0.67495,0.32389,0.9086,0.00060528,0.00060528,0.00060528
137,2181.83,0.71326,0.36151,0.90333,0.65077,0.73798,0.68711,0.57007,0.67766,0.32611,0.91008,0.000603031,0.000603031,0.000603031
138,2197.55,0.7113,0.36344,0.90217,0.61061,0.76286,0.6887,0.57395,0.67697,0.32561,0.90957,0.000600781,0.000600781,0.000600781
139,2213.16,0.71204,0.3609,0.90355,0.65644,0.73468,0.69776,0.57583,0.67494,0.32379,0.90798,0.000598531,0.000598531,0.000598531
140,2228.87,0.71301,0.36316,0.90348,0.67281,0.73628,0.69968,0.57889,0.68589,0.32538,0.91196,0.000596281,0.000596281,0.000596281
141,2244.29,0.70556,0.35929,0.90303,0.64903,0.72954,0.70443,0.58431,0.67713,0.32272,0.90984,0.000594031,0.000594031,0.000594031
142,2260.1,0.71702,0.35974,0.90281,0.69606,0.73465,0.71111,0.59044,0.6711,0.32211,0.90726,0.000591782,0.000591782,0.000591782
143,2277.47,0.70167,0.35577,0.90038,0.61893,0.72991,0.6919,0.57872,0.68234,0.32432,0.91185,0.000589532,0.000589532,0.000589532
144,2293.47,0.71264,0.36067,0.90374,0.63621,0.75807,0.70001,0.58289,0.67964,0.32434,0.91018,0.000587282,0.000587282,0.000587282
145,2308.97,0.71066,0.35695,0.90648,0.66689,0.73407,0.70283,0.58862,0.66926,0.31927,0.90709,0.000585032,0.000585032,0.000585032
146,2324.39,0.70661,0.35798,0.90698,0.66195,0.73267,0.69667,0.57965,0.67227,0.31737,0.90838,0.000582783,0.000582783,0.000582783
147,2339.75,0.70426,0.35446,0.90311,0.60753,0.77341,0.69958,0.58462,0.67334,0.32025,0.90805,0.000580533,0.000580533,0.000580533
148,2355.15,0.71286,0.35894,0.90551,0.62005,0.77472,0.68925,0.57482,0.68428,0.32106,0.91134,0.000578283,0.000578283,0.000578283
149,2370.97,0.70978,0.35628,0.90193,0.65188,0.73504,0.70331,0.58737,0.67384,0.31814,0.90839,0.000576033,0.000576033,0.000576033
150,2387.97,0.70671,0.35464,0.90223,0.62943,0.75188,0.69857,0.57759,0.68391,0.31903,0.91211,0.000573784,0.000573784,0.000573784
151,2403.55,0.7024,0.35351,0.90122,0.61908,0.74891,0.69137,0.57716,0.69403,0.31869,0.9146,0.000571534,0.000571534,0.000571534
152,2419.3,0.71457,0.36104,0.90094,0.63751,0.75414,0.70559,0.58498,0.67748,0.31839,0.90952,0.000569284,0.000569284,0.000569284
153,2435.07,0.71478,0.35897,0.90465,0.63691,0.78938,0.71111,0.59061,0.68268,0.31929,0.91111,0.000567034,0.000567034,0.000567034
154,2450.65,0.70988,0.35633,0.90233,0.63679,0.74726,0.69908,0.58443,0.67726,0.31782,0.90982,0.000564784,0.000564784,0.000564784
155,2466.29,0.70428,0.35507,0.89989,0.61693,0.76145,0.7039,0.58244,0.6892,0.32089,0.91218,0.000562535,0.000562535,0.000562535
156,2482.13,0.70491,0.35277,0.89739,0.67425,0.73832,0.70472,0.58548,0.67996,0.31859,0.91079,0.000560285,0.000560285,0.000560285
157,2497.97,0.70697,0.35562,0.90454,0.67202,0.72595,0.70891,0.58981,0.68198,0.32004,0.91098,0.000558035,0.000558035,0.000558035
158,2513.81,0.7075,0.35445,0.8999,0.63788,0.74086,0.70071,0.58687,0.68699,0.32002,0.91276,0.000555785,0.000555785,0.000555785
159,2529.35,0.70558,0.35423,0.89768,0.66518,0.74202,0.71515,0.59196,0.68188,0.318,0.9117,0.000553536,0.000553536,0.000553536
160,2545.1,0.70755,0.35333,0.89928,0.6712,0.74669,0.71275,0.59221,0.67537,0.31742,0.90928,0.000551286,0.000551286,0.000551286
161,2560.71,0.70585,0.35453,0.90137,0.64675,0.73916,0.69499,0.57569,0.67464,0.31652,0.90869,0.000549036,0.000549036,0.000549036
162,2576.23,0.71241,0.35532,0.90601,0.66388,0.75344,0.71397,0.59487,0.69294,0.31903,0.91483,0.000546786,0.000546786,0.000546786
163,2591.74,0.70118,0.35181,0.89949,0.67858,0.71327,0.70759,0.59094,0.69079,0.31888,0.91386,0.000544536,0.000544536,0.000544536
164,2607.4,0.70501,0.35238,0.90142,0.66061,0.74878,0.71934,0.59907,0.67069,0.31526,0.90736,0.000542287,0.000542287,0.000542287
165,2622.96,0.696,0.35139,0.90195,0.6457,0.74576,0.69513,0.57735,0.68497,0.31846,0.91197,0.000540037,0.000540037,0.000540037
166,2638.5,0.69746,0.35186,0.89848,0.61847,0.76847,0.70623,0.58516,0.68618,0.31701,0.91221,0.000537787,0.000537787,0.000537787
167,2654.2,0.70796,0.3546,0.90461,0.66684,0.7606,0.71276,0.58995,0.67379,0.31508,0.90878,0.000535537,0.000535537,0.000535537
168,2669.68,0.7002,0.35011,0.90147,0.67215,0.7391,0.70353,0.59027,0.68116,0.3195,0.91173,0.000533288,0.000533288,0.000533288
169,2685.26,0.70215,0.35127,0.8981,0.65998,0.73316,0.71641,0.59541,0.67125,0.31528,0.90789,0.000531038,0.000531038,0.000531038
170,2700.98,0.70245,0.35143,0.90141,0.64943,0.75849,0.71199,0.59425,0.67866,0.31723,0.91087,0.000528788,0.000528788,0.000528788
171,2716.53,0.70627,0.35401,0.90299,0.64584,0.76055,0.72165,0.60099,0.6766,0.31349,0.90892,0.000526538,0.000526538,0.000526538
172,2732.37,0.70043,0.35022,0.90176,0.64563,0.76842,0.71772,0.59725,0.67176,0.31167,0.9081,0.000524288,0.000524288,0.000524288
173,2747.95,0.70447,0.35023,0.89825,0.68344,0.74671,0.71269,0.59033,0.67569,0.3161,0.90934,0.000522039,0.000522039,0.000522039
174,2763.15,0.69552,0.34776,0.89908,0.67607,0.73586,0.72625,0.6058,0.67324,0.31372,0.90776,0.000519789,0.000519789,0.000519789
