epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,4279.46,1.53325,1.19681,1.07516,0.82684,0.83696,0.8374,0.39237,1.56752,1.23539,1.13587,0.00745075,0.00745075,0.00745075
105,4320.8,1.53675,1.20214,1.07522,0.8268,0.82395,0.83782,0.39149,1.57675,1.24631,1.13466,0.007426,0.007426,0.007426
106,4361.9,1.52253,1.21096,1.075,0.82479,0.83635,0.84235,0.39888,1.5678,1.23461,1.13647,0.00740125,0.00740125,0.00740125
107,4403.14,1.53769,1.20365,1.07203,0.82673,0.8241,0.83486,0.39244,1.59575,1.24571,1.14487,0.0073765,0.0073765,0.0073765
108,4444.39,1.53461,1.21191,1.0758,0.83082,0.82278,0.83855,0.40129,1.46627,1.28676,1.10708,0.00735175,0.00735175,0.00735175
109,4485.5,1.52804,1.20195,1.07012,0.82363,0.83835,0.83856,0.39111,1.65594,1.24242,1.17673,0.007327,0.007327,0.007327
110,4526.58,1.52823,1.21697,1.07551,0.82557,0.82033,0.83403,0.38896,1.62659,1.24186,1.15221,0.00730225,0.00730225,0.00730225
111,4567.84,1.52969,1.20328,1.07278,0.82284,0.83301,0.84164,0.3978,1.51491,1.26716,1.11907,0.0072775,0.0072775,0.0072775
112,4609.11,1.53766,1.20771,1.07428,0.82701,0.8219,0.83374,0.39552,1.54125,1.25803,1.12347,0.00725275,0.00725275,0.00725275
113,4650.3,1.52959,1.19805,1.07486,0.82515,0.82395,0.8388,0.38973,1.65561,1.23317,1.16653,0.007228,0.007228,0.007228
114,4691.44,1.51949,1.21359,1.07126,0.83195,0.82533,0.8345,0.39749,1.58846,1.2565,1.14936,0.00720325,0.00720325,0.00720325
115,4732.49,1.52811,1.20757,1.07528,0.82527,0.83813,0.83829,0.39764,1.50357,1.27932,1.11201,0.0071785,0.0071785,0.0071785
116,4773.73,1.53538,1.21091,1.08238,0.83004,0.82381,0.83583,0.39405,1.60597,1.2499,1.14686,0.00715375,0.00715375,0.00715375
117,4814.91,1.53215,1.19244,1.0706,0.82364,0.83799,0.83205,0.38866,1.64433,1.23233,1.15887,0.007129,0.007129,0.007129
118,4856.01,1.52587,1.21492,1.07131,0.82783,0.82586,0.83966,0.39706,1.56078,1.26097,1.13087,0.00710425,0.00710425,0.00710425
119,4897.26,1.52725,1.19931,1.0734,0.83668,0.82173,0.84,0.40593,1.47327,1.28594,1.10931,0.0070795,0.0070795,0.0070795
120,4938.32,1.52668,1.20991,1.07795,0.83288,0.8396,0.84768,0.40326,1.54157,1.25569,1.12671,0.00705475,0.00705475,0.00705475
121,4979.58,1.52237,1.19605,1.06647,0.83108,0.83196,0.84283,0.40271,1.52165,1.25753,1.11963,0.00703,0.00703,0.00703
122,5020.63,1.52534,1.20208,1.07206,0.82933,0.82961,0.84049,0.39117,1.68748,1.2176,1.17694,0.00700525,0.00700525,0.00700525
